well_id,timestamp,split,score,tranad_recon
129л,2025-12-01 07:24:00,test,0.3202977776527405,0.3202977776527405
129л,2025-12-01 07:26:00,test,0.3160656988620758,0.3160656988620758
129л,2025-12-01 07:28:00,test,0.3475637137889862,0.3475637137889862
129л,2025-12-01 07:30:00,test,0.4679700434207916,0.4679700434207916
129л,2025-12-01 07:32:00,test,0.41158583760261536,0.41158583760261536
129л,2025-12-01 07:34:00,test,0.39934831857681274,0.39934831857681274
129л,2025-12-01 07:36:00,test,0.4420001804828644,0.4420001804828644
129л,2025-12-01 07:38:00,test,0.5054464936256409,0.5054464936256409
129л,2025-12-01 07:40:00,test,0.4668946862220764,0.4668946862220764
129л,2025-12-01 07:42:00,test,0.3769569993019104,0.3769569993019104
129л,2025-12-01 07:44:00,test,0.461946040391922,0.461946040391922
129л,2025-12-01 07:46:00,test,0.4367387592792511,0.4367387592792511
129л,2025-12-01 07:48:00,test,0.442131370306015,0.442131370306015
129л,2025-12-01 07:50:00,test,0.466368168592453,0.466368168592453
129л,2025-12-01 07:52:00,test,0.45731887221336365,0.45731887221336365
129л,2025-12-01 07:54:00,test,0.4403366148471832,0.4403366148471832
129л,2025-12-01 07:56:00,test,0.4795089662075043,0.4795089662075043
129л,2025-12-01 07:58:00,test,0.5111488103866577,0.5111488103866577
129л,2025-12-01 08:00:00,test,0.5189221501350403,0.5189221501350403
129л,2025-12-01 08:02:00,test,0.4119163453578949,0.4119163453578949
129л,2025-12-01 08:04:00,test,0.3911789655685425,0.3911789655685425
129л,2025-12-01 08:06:00,test,0.3761242628097534,0.3761242628097534
129л,2025-12-01 08:08:00,test,0.4296611249446869,0.4296611249446869
129л,2025-12-01 08:10:00,test,0.46127524971961975,0.46127524971961975
129л,2025-12-01 08:12:00,test,0.43207457661628723,0.43207457661628723
129л,2025-12-01 08:14:00,test,0.46142831444740295,0.46142831444740295
129л,2025-12-01 08:16:00,test,0.47876009345054626,0.47876009345054626
129л,2025-12-01 08:18:00,test,0.4462117850780487,0.4462117850780487
129л,2025-12-01 08:20:00,test,0.45260560512542725,0.45260560512542725
129л,2025-12-01 08:22:00,test,0.44213956594467163,0.44213956594467163
129л,2025-12-01 08:24:00,test,0.4202960431575775,0.4202960431575775
129л,2025-12-01 08:26:00,test,0.5029513835906982,0.5029513835906982
129л,2025-12-01 08:28:00,test,0.4751022160053253,0.4751022160053253
129л,2025-12-01 08:30:00,test,0.4458879232406616,0.4458879232406616
129л,2025-12-01 08:32:00,test,0.4571087658405304,0.4571087658405304
129л,2025-12-01 08:34:00,test,0.4980439841747284,0.4980439841747284
129л,2025-12-01 08:36:00,test,0.5190359950065613,0.5190359950065613
129л,2025-12-01 08:38:00,test,0.5111204385757446,0.5111204385757446
129л,2025-12-01 08:40:00,test,0.528015673160553,0.528015673160553
129л,2025-12-01 08:42:00,test,0.5139160752296448,0.5139160752296448
129л,2025-12-01 08:44:00,test,0.4988124668598175,0.4988124668598175
129л,2025-12-01 08:46:00,test,0.57295161485672,0.57295161485672
129л,2025-12-01 08:48:00,test,0.556517481803894,0.556517481803894
129л,2025-12-01 08:50:00,test,0.6914529800415039,0.6914529800415039
129л,2025-12-01 08:52:00,test,0.6255369186401367,0.6255369186401367
129л,2025-12-01 08:54:00,test,0.6346536874771118,0.6346536874771118
129л,2025-12-01 08:56:00,test,0.5707294940948486,0.5707294940948486
129л,2025-12-01 08:58:00,test,0.697618842124939,0.697618842124939
129л,2025-12-01 09:00:00,test,0.7121721506118774,0.7121721506118774
129л,2025-12-01 09:02:00,test,0.6347598433494568,0.6347598433494568
129л,2025-12-01 09:04:00,test,0.551903486251831,0.551903486251831
129л,2025-12-01 09:06:00,test,0.6083291172981262,0.6083291172981262
129л,2025-12-01 09:08:00,test,0.6140276789665222,0.6140276789665222
129л,2025-12-01 09:10:00,test,0.6872795820236206,0.6872795820236206
129л,2025-12-01 09:12:00,test,0.7002251744270325,0.7002251744270325
129л,2025-12-01 09:14:00,test,0.6403436064720154,0.6403436064720154
129л,2025-12-01 09:16:00,test,0.768084704875946,0.768084704875946
129л,2025-12-01 09:18:00,test,0.5748772025108337,0.5748772025108337
129л,2025-12-01 09:20:00,test,0.4864930510520935,0.4864930510520935
129л,2025-12-01 09:22:00,test,0.44246557354927063,0.44246557354927063
129л,2025-12-01 09:24:00,test,0.49972015619277954,0.49972015619277954
129л,2025-12-01 09:26:00,test,0.4969820976257324,0.4969820976257324
129л,2025-12-01 09:28:00,test,0.4971555471420288,0.4971555471420288
129л,2025-12-01 09:30:00,test,0.5563748478889465,0.5563748478889465
129л,2025-12-01 09:32:00,test,0.5364678502082825,0.5364678502082825
129л,2025-12-01 09:34:00,test,0.5155102610588074,0.5155102610588074
129л,2025-12-01 09:36:00,test,0.5488168001174927,0.5488168001174927
129л,2025-12-01 09:38:00,test,0.5662492513656616,0.5662492513656616
129л,2025-12-01 09:40:00,test,0.6179332733154297,0.6179332733154297
129л,2025-12-01 09:42:00,test,0.6384236216545105,0.6384236216545105
129л,2025-12-01 09:44:00,test,0.6584282517433167,0.6584282517433167
129л,2025-12-01 09:46:00,test,0.7839580178260803,0.7839580178260803
129л,2025-12-01 09:48:00,test,0.6208658218383789,0.6208658218383789
129л,2025-12-01 09:50:00,test,0.6256505846977234,0.6256505846977234
129л,2025-12-01 09:52:00,test,0.5730240941047668,0.5730240941047668
129л,2025-12-01 09:54:00,test,0.6409731507301331,0.6409731507301331
129л,2025-12-01 09:56:00,test,0.5854490995407104,0.5854490995407104
129л,2025-12-01 09:58:00,test,0.5691213607788086,0.5691213607788086
129л,2025-12-01 10:00:00,test,0.6176015734672546,0.6176015734672546
129л,2025-12-01 10:02:00,test,0.5458641648292542,0.5458641648292542
129л,2025-12-01 10:04:00,test,0.508431077003479,0.508431077003479
129л,2025-12-01 10:06:00,test,0.5051916241645813,0.5051916241645813
129л,2025-12-01 10:08:00,test,0.5069995522499084,0.5069995522499084
129л,2025-12-01 10:10:00,test,0.5227406620979309,0.5227406620979309
129л,2025-12-01 10:12:00,test,0.44953659176826477,0.44953659176826477
129л,2025-12-01 10:14:00,test,0.39156052470207214,0.39156052470207214
129л,2025-12-01 10:16:00,test,0.40791162848472595,0.40791162848472595
129л,2025-12-01 10:18:00,test,0.4127948582172394,0.4127948582172394
129л,2025-12-01 10:20:00,test,0.4459903836250305,0.4459903836250305
129л,2025-12-01 10:22:00,test,0.39139336347579956,0.39139336347579956
129л,2025-12-01 10:24:00,test,0.41988489031791687,0.41988489031791687
129л,2025-12-01 10:26:00,test,0.3415127396583557,0.3415127396583557
129л,2025-12-01 10:28:00,test,0.3323579728603363,0.3323579728603363
129л,2025-12-01 10:30:00,test,0.3542024791240692,0.3542024791240692
129л,2025-12-01 10:32:00,test,0.3787616789340973,0.3787616789340973
129л,2025-12-01 10:34:00,test,0.3961944580078125,0.3961944580078125
129л,2025-12-01 10:36:00,test,0.43987593054771423,0.43987593054771423
129л,2025-12-01 10:38:00,test,0.4145504832267761,0.4145504832267761
129л,2025-12-01 10:40:00,test,0.4443449378013611,0.4443449378013611
129л,2025-12-01 10:42:00,test,0.4298407733440399,0.4298407733440399
129л,2025-12-01 10:44:00,test,0.4316662549972534,0.4316662549972534
129л,2025-12-01 10:46:00,test,0.4077495038509369,0.4077495038509369
129л,2025-12-01 10:48:00,test,0.48388436436653137,0.48388436436653137
129л,2025-12-01 10:50:00,test,0.4916760325431824,0.4916760325431824
129л,2025-12-01 10:52:00,test,0.5234837532043457,0.5234837532043457
129л,2025-12-01 10:54:00,test,0.6599218845367432,0.6599218845367432
129л,2025-12-01 10:56:00,test,0.5118554830551147,0.5118554830551147
129л,2025-12-01 10:58:00,test,0.438021719455719,0.438021719455719
129л,2025-12-01 11:00:00,test,0.516124427318573,0.516124427318573
129л,2025-12-01 11:02:00,test,0.4800795614719391,0.4800795614719391
129л,2025-12-01 11:04:00,test,0.4143714904785156,0.4143714904785156
129л,2025-12-01 11:06:00,test,0.4588712155818939,0.4588712155818939
129л,2025-12-01 11:08:00,test,0.4244753122329712,0.4244753122329712
129л,2025-12-01 11:10:00,test,0.39403557777404785,0.39403557777404785
129л,2025-12-01 11:12:00,test,0.42591026425361633,0.42591026425361633
129л,2025-12-01 11:14:00,test,0.43383222818374634,0.43383222818374634
129л,2025-12-01 11:16:00,test,0.4769970774650574,0.4769970774650574
129л,2025-12-01 11:18:00,test,0.0,0.0
129л,2025-12-01 11:20:00,test,0.0,0.0
129л,2025-12-01 11:22:00,test,0.0,0.0
129л,2025-12-01 11:24:00,test,0.0,0.0
129л,2025-12-01 11:26:00,test,0.0,0.0
129л,2025-12-01 11:28:00,test,0.0,0.0
129л,2025-12-01 11:30:00,test,0.0,0.0
129л,2025-12-01 11:32:00,test,0.0,0.0
129л,2025-12-01 11:34:00,test,0.0,0.0
129л,2025-12-01 11:36:00,test,0.0,0.0
129л,2025-12-01 11:38:00,test,0.0,0.0
129л,2025-12-01 11:40:00,test,0.0,0.0
129л,2025-12-01 11:42:00,test,0.0,0.0
129л,2025-12-01 11:44:00,test,0.0,0.0
129л,2025-12-01 11:46:00,test,0.0,0.0
129л,2025-12-01 11:48:00,test,0.0,0.0
129л,2025-12-01 11:50:00,test,0.0,0.0
129л,2025-12-01 11:52:00,test,0.0,0.0
129л,2025-12-01 11:54:00,test,0.0,0.0
129л,2025-12-01 11:56:00,test,0.0,0.0
129л,2025-12-01 11:58:00,test,0.0,0.0
129л,2025-12-01 12:00:00,test,0.0,0.0
129л,2025-12-01 12:02:00,test,0.0,0.0
129л,2025-12-01 12:04:00,test,0.0,0.0
129л,2025-12-01 12:06:00,test,0.0,0.0
129л,2025-12-01 12:08:00,test,0.0,0.0
129л,2025-12-01 12:10:00,test,0.0,0.0
129л,2025-12-01 12:12:00,test,0.0,0.0
129л,2025-12-01 12:14:00,test,0.0,0.0
129л,2025-12-01 12:16:00,test,0.0,0.0
129л,2025-12-01 12:18:00,test,0.0,0.0
129л,2025-12-01 12:20:00,test,0.0,0.0
129л,2025-12-01 12:22:00,test,0.0,0.0
129л,2025-12-01 12:24:00,test,0.0,0.0
129л,2025-12-01 12:26:00,test,0.0,0.0
129л,2025-12-01 12:28:00,test,0.0,0.0
129л,2025-12-01 12:30:00,test,0.0,0.0
129л,2025-12-01 12:32:00,test,0.0,0.0
129л,2025-12-01 12:34:00,test,0.0,0.0
129л,2025-12-01 12:36:00,test,0.0,0.0
129л,2025-12-01 12:38:00,test,0.0,0.0
129л,2025-12-01 12:40:00,test,0.0,0.0
129л,2025-12-01 12:42:00,test,0.0,0.0
129л,2025-12-01 12:44:00,test,0.0,0.0
129л,2025-12-01 12:46:00,test,0.0,0.0
129л,2025-12-01 12:48:00,test,0.0,0.0
129л,2025-12-01 12:50:00,test,0.0,0.0
